---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  B 4F704  -----00  -----  00--------
02-60  C 4E44C  -----00  D 5A44E  G 2FF04  -----00  -----00  -----00  D 5F704  D 5E004  -FF-D  00--------
02-61  C 4E44C  -----00  E 5B44E  -----00  -----00  -----00  -----00  B 4F704  E 5F004  -FF--  00--------
02-62  C 4E44C  -----00  -----00  G 3FF04  -----00  -----00  -----00  D 5F704  -----00  -FF-D  00--------
02-63  -----00  -----00  D 5B44E  -----00  -----00  -----00  -----00  G 4F704  D 5F004  -----  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
03-00  A 2C205  A 4482D  E 5B44E  A 2FF04  A 5F104  C 6F104  E 6F104  A 4F704  E 5F004  F---D  00--------
03-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
03-02  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  E 5F704  -----00  ---FD  00--------
03-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
03-04  C 4E44C  -----00  A 5B44E  A 2FF04  -----00  -----00  -----00  E 5F704  A 5F004  -FF-D  00--------
03-05  -----00  -----00  G 5B44E  -----00  -----00  -----00  -----00  A 4F704  G 5F004  -----  00--------
03-06  A 3C205  -----00  D 5B44E  A 3FF04  -----00  -----00  -----00  C 5F704  D 5F004  ----D  00--------
03-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  E 5F704  -----00  -----  00--------
03-08  A 2C205  -----00  E 5B44E  A 2FF04  -----00  -----00  -----00  C 5F704  E 5F004  F---D  00--------
03-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  E 5F704  -----00  -----  00--------
